word,label,polarity,count,pos_count,neg_count,neu_count,pos_score,neg_score
원유/NNG;가격/NNG;올랐/VV,1,1.0,21,21,0,3,0.6713864646008733,3.1442309331896925e-05
고성장/NNG;아니/VCN;성장능력/NNG;비해서/VV,1,0.999996944666103,19,19,0,0,0.6501802496824606,3.1442309331896925e-05
경제/NNG;본/VV;상승세/NNG;빨랐/VA,1,0.999996944666103,19,19,0,0,0.6501802496824606,3.1442309331896925e-05
규제/NNG;하/XSV;다르/VA;금리인상/NNG;부동산가격/NNG,1,0.9999917775309577,16,16,0,0,0.6172104163749155,3.1442309331896925e-05
금리인상/NNG;부동산가격/NNG;영향/NNG;주/VV;아니/VCN,1,0.9999917775309577,16,16,0,0,0.6172104163749155,3.1442309331896925e-05
상환능력/NNG;유지/NNG;할/XSV,1,0.9999898818093704,15,15,0,5,0.6059374798104726,3.1442309331896925e-05
기준금리/NNG;수준/NNG;유지/NNG;한다고/XSV,1,0.9996953915406126,23,22,1,4,0.6817279276323079,0.00013575858698781362
금리/NNG;낮/VA;아니/VCN,1,0.9995787583857985,20,19,1,5,0.6501658751085237,0.00016739748883183998
성장/NNG;안/MAG;될/VV,1,0.9994581014031692,18,17,1,0,0.6283299646684009,0.0001996948040497758
플러스/NNG;성장세/NNG;이/VV,1,0.9993765335121718,17,16,1,1,0.6171923211226883,0.00022133789559942657
성장경로/NNG;불확실성/NNG;상존/NNG;하/XSV,1,0.9980440824770718,21,19,2,10,0.650113006666145,0.000666766868578741
경기회복세/NNG;되/VV,1,0.9966912250110909,18,16,2,18,0.617113054515708,0.0010513994191804388
통화정책/NNG;금융완화/NNG;유지/NNG;하/XSV,1,0.9961454916288821,25,22,3,21,0.6815866605187985,0.0013478707235264268
순자산/NNG;증가/NNG;한/XSA,1,0.9936440418047445,22,19,3,13,0.649960430137655,0.0021023063706466973
지정학적리스크/NNG;커지/VV,1,0.9934628701923132,15,13,2,19,0.5828496832787305,0.0019383684475184945
경제성장/NNG;가능/NNG;할/XSV,1,0.9934628701923132,15,13,2,3,0.5828496832787305,0.0019383684475184945
인플레이션/NNG;완화/NNG;되/XSV;않/VX,1,0.9923098529056444,21,18,3,5,0.6390855628467507,0.0024964139363075535
콜금리/NNG;목표/NNG;인상/NNG;하/XSV,1,0.9916447040404488,39,33,6,5,0.7829370587049136,0.0033207816701106337
인플레이션/NNG;낮/VA;지/VX,1,0.9905624705989506,20,17,3,9,0.6280510620503873,0.0030066880478435577
금리인상/NNG;나타나/VV,1,0.988232837475671,19,16,3,8,0.6168603363830322,0.003679224279114041
인플레이션/NNG;우려/NNG;상존/NNG;해/XSV,1,0.987277479476921,30,25,5,28,0.7111635012293183,0.004585548812697041
기준금리/NNG;상향/NNG;조정/NNG;하/XSV,1,0.9864024366605815,35,29,6,22,0.7484264561176465,0.0051575782214144175
잠재/NNG;성장률/NNG;밑도/VV,1,0.9850656475613007,18,15,3,13,0.6055156553450391,0.004583250697230497
경기회복모멘텀/NNG;둔화/NNG;되/XSV,1,0.9850656475613007,18,15,3,11,0.6055156553450391,0.004583250697230497
금융완화/NNG;라는/VCP,1,0.9833683769679902,23,19,4,5,0.6495983588115711,0.005476920624064105
경기상승세/NNG;되/XSV,1,0.9833683769679902,23,19,4,8,0.6495983588115711,0.005476920624064105
금리/NNG;올려서/VV,1,0.9825032970995224,28,23,5,29,0.6911817150123084,0.00613160962256007
수요측면/NNG;물가상승압력/NNG;않/VX,1,0.9820896093157012,33,27,6,28,0.7299385466857486,0.006629100266087404
인플레이션기대/NNG;심리/NNG;확산/NNG;될/XSV,1,0.9806666884560371,17,14,3,2,0.5940171833340603,0.005825241950419485
경기회복세/NNG;둔화/NNG;될/XSV,1,0.9795567385224448,22,18,4,12,0.6386559559596445,0.006624537142494233
내수/NNG;증가/NNG;하/XSV,1,0.9795567385224448,22,18,4,10,0.6386559559596445,0.006624537142494233
경제/NNG;호조/NNG;하/XSV,1,0.9758212481651045,31,25,6,11,0.7106256340636282,0.008728248796931412
시장금리/NNG;하락/NNG;했/XSV,1,0.9751125813577857,26,21,5,18,0.670418699869992,0.00847786269533926
적자/NNG;나/VV,1,0.9745344041243105,21,17,4,7,0.6275348086247898,0.008121611624799475
콜금리/NNG;인상/NNG;해야/XSV,1,0.9744132193499684,16,13,3,6,0.5823613100185784,0.007573172090875483
기준금리인상/NNG;이어질/VV,1,0.9744132193499684,16,13,3,13,0.5823613100185784,0.007573172090875483
국채선물/NNG;높/VA;된/XSV,1,0.9744132193499684,16,13,3,14,0.5823613100185784,0.007573172090875483
물가상승압력/NNG;이어질/VV,1,0.9744132193499684,16,13,3,6,0.5823613100185784,0.007573172090875483
금리/NNG;올라야/VV,1,0.9744132193499684,16,13,3,12,0.5823613100185784,0.007573172090875483
경제/NNG;물가안정/NNG;견조/NNG;한/XSA,1,0.9744132193499684,16,13,3,0,0.5823613100185784,0.007573172090875483
인플레이션/NNG;우려/NNG;상존/NNG;하/XSV,1,0.9652991958585726,15,12,3,4,0.570537667980319,0.010099182687178
성장세/NNG;미약하/VAX,1,0.9652991958585726,15,12,3,22,0.570537667980319,0.010099182687178
달러화/NNG;엔화/NNG;움직여/VV;인/VCP;낮/VA;졌/VX,1,0.9652991958585726,15,12,3,13,0.570537667980319,0.010099182687178
임금상승압력/NNG;높/VA,1,0.9652991958585726,15,12,3,5,0.570537667980319,0.010099182687178
이자/NNG;부담/NNG;커질/VA,1,0.9652991958585726,15,12,3,5,0.570537667980319,0.010099182687178
경제회복/NNG;지연/NNG;되/XSV,1,0.9652991958585726,15,12,3,11,0.570537667980319,0.010099182687178
이자/NNG;부담/NNG;늘어날/VV,1,0.9600629268044916,28,22,6,18,0.6800868455440802,0.013886988873347423
단기금리/NNG;올리/VV,1,0.9587062287769459,19,15,4,3,0.6047368579514728,0.012775730048420956
경기둔화우려/NNG;부각/NNG;되/XSV,1,0.9587062287769459,19,15,4,21,0.6047368579514728,0.012775730048420956
불확실성/NNG;해소/NNG;되/XSV;않/VX,1,0.9586213792651448,49,38,11,38,0.8188265162439806,0.017334824251532637
경기/NNG;해외/NNG;위험요인/NNG;상존/NNG;하/XSV,1,0.9546068112177506,23,18,5,9,0.6377805422370963,0.014839444396013245
부동산가격/NNG;잡/VV,1,0.9533702496248475,56,43,13,12,0.8514528847507447,0.020362470264618744
유동성위험/NNG;낮/VA,1,0.9520818004351976,27,21,6,20,0.6694754185065709,0.01646284798625534
경기선행지수/NNG;상승/NNG;하/XSV,1,0.949148031104428,39,30,9,18,0.7550920795464983,0.019732481541835285
